

 JOB_ID#   = 1
 Beamline  = BL45XU
 FILE_NAME = /user/admin45/Data/250718_BL45XU/check02/noxray_??????.h5
 starting_serial = 1
 JOB_MODE  = Crystal Check
 Beam shape = rectangle, Beam size = 50.0[um] x 50.0[um] (h x w)
 DETECTOR  = PAD (EIGER16M) :
 DATA COLLECTION_PARAMETERS :
  scan_from = 0.000[deg], scan_to = 10.000[deg], scan_step = 0.100[deg]
  sampling_interval = 1, number_of_images = 100 x 1
  delay_time = 200.0[msec], cameralength = 150.0[mm], attenuator = Al 2586[um] (T=0.0100)
  ver. offset = 0.0[mm], hor. offset = 0.0[mm]
  inverse_beam = no
  wavelength = 0.77500, expose_time = 0.02[sec]

               DataSet, ImageNum, Wavelength, ExposeTime, StartAngle, OscAngle, FileName, RingCurrent, I0, Time ,Date
 SCAN_STATUS000036 = 1,  36,  0.77500,  0.02,  3.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000037 = 1,  37,  0.77500,  0.02,  3.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000038 = 1,  38,  0.77500,  0.02,  3.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000039 = 1,  39,  0.77500,  0.02,  3.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000040 = 1,  40,  0.77500,  0.02,  3.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000041 = 1,  41,  0.77500,  0.02,  4.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000042 = 1,  42,  0.77500,  0.02,  4.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000043 = 1,  43,  0.77500,  0.02,  4.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000044 = 1,  44,  0.77500,  0.02,  4.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000045 = 1,  45,  0.77500,  0.02,  4.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000046 = 1,  46,  0.77500,  0.02,  4.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000047 = 1,  47,  0.77500,  0.02,  4.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000048 = 1,  48,  0.77500,  0.02,  4.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000049 = 1,  49,  0.77500,  0.02,  4.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000050 = 1,  50,  0.77500,  0.02,  4.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000051 = 1,  51,  0.77500,  0.02,  5.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000052 = 1,  52,  0.77500,  0.02,  5.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000053 = 1,  53,  0.77500,  0.02,  5.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000054 = 1,  54,  0.77500,  0.02,  5.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000055 = 1,  55,  0.77500,  0.02,  5.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000056 = 1,  56,  0.77500,  0.02,  5.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000057 = 1,  57,  0.77500,  0.02,  5.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000058 = 1,  58,  0.77500,  0.02,  5.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000059 = 1,  59,  0.77500,  0.02,  5.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000060 = 1,  60,  0.77500,  0.02,  5.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000061 = 1,  61,  0.77500,  0.02,  6.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000062 = 1,  62,  0.77500,  0.02,  6.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000063 = 1,  63,  0.77500,  0.02,  6.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000064 = 1,  64,  0.77500,  0.02,  6.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
